Sigla,Setor_Descricao,Setor_Codigo
COGEAD,FARMACIA POPULAR BA-PAULO AFONSO,
COGEAD,FARMACIA POPULAR SP-HORTOLANDIA UND II,
COGEAD,FARMACIA POPULAR RJ-RESENDE,
COGEAD,FARMACIA POPULAR PI-ITARARE,
COGEAD,FARMACIA POPULAR RO-VILHENA,
COGEAD,FARMACIA POPULAR MA-ZE DOCA,
COGEAD,FARMACIA POPULAR RS-SAO LEOPOLDO/FEITORI,
COGEAD,FARMACIA POPULAR PA-JURUNAS,
COGEAD,FARMACIA POPULAR BA-CAMACARI,
COGEAD,FARMACIA POPULAR MA-GRAJAU,
COGEAD,FARMACIA POPULAR PA-ITAITUBA,
COGEAD,FARMACIA POPULAR SC-PALHOCA,
COGEAD,FARMACIA POPULAR SP-OSASCO II,
COGEAD,FARMACIA POPULAR SC-JARAGUA DO SUL,
COGEAD,FARMACIA POPULAR RS-FUND.APOIO UN.FED.RS,
COGEAD,FARMACIA POPULAR RS-ALEGRETE,
COGEAD,FARMACIA POPULAR PB-J.PES. COSTA E SILVA,
COGEAD,FARMACIA POPULAR MS-CORUMBA,
COGEAD,FARMACIA POPULAR MG-CONGONHAS,
COGEAD,FARMACIA POPULAR PE-OLINDA II,
COGEAD,FARMACIA POPULAR RJ-B.ROXO UND A.BRANCA,
COGEAD,FARMACIA POPULAR MS-AQUIDAUANA,
COGEAD,FARMACIA POPULAR SC-CANOINHAS,
COGEAD,FARMACIA POPULAR SP-TUPA,
COGEAD,FARMACIA POPULAR PA-BENGUI,
COGEAD,FARMACIA POPULAR AL-ARAPIRACA,
COGEAD,FARMACIA POPULAR BA-ITAMARAJU,
COGEAD,FARMACIA POPULAR BA-ITAPETINGA,
COGEAD,FARMACIA POPULAR BA-NARANDIBA,
COGEAD,FARMACIA POPULAR RJ-ARARUAMA,
COGEAD,FARMACIA POPULAR ES-CACHOEIRO ITAPEMIRIM,
COGEAD,COORDENACAO GRAL DE ADMINISTRACAO,
COGEAD,FARMACIA POPULAR PA-SAO MIGUEL DO GUAMA,
COGEAD,FARMACIA POPULAR MT-VARZEA GRANDE,
COGEAD,FARMACIA POPULAR MG-BARBACENA,
COGEAD,FARMACIA POPULAR BA-CRUZ DAS ALMAS,
COGEAD,FARMACIA POPULAR MG-LAVRAS,
COGEAD,FARMACIA POPULAR ES-STA MARIA DE JETIBA,
COGEAD,FARMACIA POPULAR GO-STO.ANT.DESCOBERTO,
COGEAD,FARMACIA POPULAR MG-BELO HORIZONTE UND V,
COGEAD,FARMACIA POPULAR SP-VALINHOS,
COGEAD,FARMACIA POPULAR SP-PINDAMONHANGABA,
COGEAD,FARMACIA POPULAR RJ-PETROPOLIS UNID II,
COGEAD,FARMACIA POPULAR SP-CACAPAVA,
COGEAD,FARMACIA POPULAR ES-VITORIA,
COGEAD,FARMACIA POPULAR PA-ANANINDEUA UND GUAN,
COGEAD,FARMACIA POPULAR DF-SOBRADINHO,
COGEAD,FARMACIA POPULAR BA-O.SOCIAIS IRMA DULCE,
COGEAD,FARMACIA POPULAR SP-MOOCA,
COGEAD,FARMACIA POPULAR CAXIAS DO SUL,
COGEAD,FARMACIA POPULAR SP-SANTO AMARO,
COGEAD,FARMACIA POPULAR DO BRASIL,
COGEAD,FARMACIA POPULAR SP-CAPELA DO SOCORRO,
COGEAD,FARMACIA POPULAR PB-LIBERDADE,
COGEAD,FARMACIA POPULAR SE-ITABAINA,
COGEAD,FARMACIA POPULAR RJ-SEROPEDICA,
COGEAD,FARMACIA POPULAR ES-CARIACICA,
COGEAD,FARMACIA POPULAR MG-BELO HORIZONTE,
COGEAD,FARMACIA POPULAR SP-FREGUESIA DO O,
COGEAD,FARMACIA POPULAR SP-SANTANA/TUCURUVI,
COGEAD,FARMACIA POPULAR MG-ITABIRA,
COGEAD,FARMACIA POPULAR PR-PARANAGUA,
COGEAD,FARMACIA POPULAR GO-VALPARAISO DE GOIAS,
COGEAD,FARMACIA POPULAR CE-CRATEUS,
COGEAD,FARMACIA POPULAR BA-GUANAMBI,
COGEAD,FARMACIA POPULAR AM-MANAUS,
COGEAD,FARMACIA POPULAR SP-PENHA,
COGEAD,FARMACIA POPULAR SP-V.MARIA/GUILHERME,
COGEAD,FARMACIA POPULAR PI-TERESINA,
COGEAD,FARMACIA POPULAR BA-BRUMADO,
COGEAD,FARMACIA POPULAR SP-IPIRANGA,
COGEAD,FARMACIA POPULAR GO-INDEPENDÊNCIA,
COGEAD,FARMACIA POPULAR RJ - PENHA,
COGEAD,FARMACIA POPULAR SP-RIO CLARO,
COGEAD,FARMACIA POPULAR SE-N.SRA DA GLORIA,
COGEAD,FARMACIA POPULAR GO-PLANALTINA,
COGEAD,FARMACIA POPULAR RJ-NILOPOLIS,
COGEAD,FARMACIA POPULAR PA-CABANAGEM,
COGEAD,FARMACIA POPULAR CE-AQUIRAZ,
COGEAD,FARMACIA POPULAR SP-BONFIM PAULISTA,
COGEAD,FARMACIA POPULAR RS-SAO LOURENCO DO SUL,
COGEAD,FARMACIA POPULAR MG-OLIVEIRA,
COGEAD,FARMACIA POPULAR PA-IGARAPE MIRI,
COGEAD,FARMACIA POPULAR MG-BOA ESPERANCA,
COGEAD,FARMACIA POPULAR AM-HUMAITA,
COGEAD,FARMACIA POPULAR MG-LEOPOLDINA,
COGEAD,FARMACIA POPULAR BA-SAO CAETANO,
COGEAD,FARMACIA POPULAR BA-AMARGOSA,
COGEAD,FARMACIA POPULAR SP-BEBEDOURO,
COGEAD,FARMACIA POPULAR PB-JOAO PESSOA,
COGEAD,FARMACIA POPULAR CE-MOMBACA,
COGEAD,FARMACIA POPULAR SC-BALNEARIO CAMBURIU,
COGEAD,FARMACIA POPULAR RJ-TRES RIOS,
COGEAD,FARMACIA POPULAR AL-PENEDO,
COGEAD,FARMACIA POPULAR RJ-B.PIRAI/UN CAL.BARRA,
COGEAD,FARMACIA POPULAR PA-DOM ELISEU,
COGEAD,FARMACIA POPULAR PA-REDENCAO,
COGEAD,FARMACIA POPULAR RJ-BOM JARDIM,
COGEAD,FARMACIA POPULAR CE-ACOPIARA,
COGEAD,FARMACIA POPULAR MA-SANTA INES,
COGEAD,FARMACIA POPULAR PA-HOSP.STO.ANT.MAR.ZAC,
COGEAD,FARMACIA POPULAR BA-BOCA DO RIO,
COGEAD,FARMACIA POPULAR PA-MOSQUEIRO,
COGEAD,FARMACIA POPULAR BA-JUAZEIRO UND II,
COGEAD,FARMACIA POPULAR RS-SAPUCAIA DO SUL,
COGEAD,FARMACIA POPULAR PA-ITUPIRANGA,
COGEAD,FARMACIA POPULAR PA-SANTANA DO ARAGUAIA,
COGEAD,FARMACIA POPULAR PE-PETROLINAII,
COGEAD,FARMACIA POPULAR BA-SANTO AMARO,
COGEAD,FARMACIA POPULAR RS-TORRES,
COGEAD,FARMACIA POPULAR SP-SAO BERNADO CAMPO II,
COGEAD,FARMACIA POPULAR MA-CURURUPU,
COGEAD,FARMACIA POPULAR AL-SANTANA DO IPANEMA,
COGEAD,FARMACIA POPULAR MT-SINOP,
COGEAD,FARMACIA POPULAR AL-UNIAO DOS PALMARES,
COGEAD,FARMACIA POPULAR RS-CANOAS,
COGEAD,FARMACIA POPULAR RJ- ITABORAI,
COGEAD,FARMACIA POPULAR PB-PEDRAS DE FOGO,
COGEAD,FARMACIA POPULAR BA-ALAGOINHAS PC BANDEI,
COGEAD,FARMACIA POPULAR RN-MOSSORO,
COGEAD,FARMACIA POPULAR RJ-PARACAMBI,
COGEAD,FARMACIA POPULAR BA-EUNAPOLIS,
COGEAD,FARMACIA POPULAR PA-XINGUARA,
COGEAD,FARMACIA POPULAR SC-FLORIANOPOLIS UN CEN,
COGEAD,FARMACIA POPULAR CE-SIQUEIRA,
COGEAD,FARMACIA POPULAR MA-CODO,
COGEAD,FARMACIA POPULAR PB-MONTEIRO,
COGEAD,FARMACIA POPULAR SP-GUARULHOS,
COGEAD,FARMACIA POPULAR AM-CIDADE NOVA,
COGEAD,FARMACIA POPULAR SP-DIADEMA UND II,
COGEAD,FARMACIA POPULAR MG-VENDA NOVA,
COGEAD,FARMACIA POPULAR PA-TOME ACU,
COGEAD,FARMACIA POPULAR CE-MARACANU UND CENTRO,
COGEAD,FARMACIA POPULAR CE-ITAPIPOCA,
COGEAD,FARMACIA POPULAR RS-FREDERICO WESTPHALEN,
COGEAD,FARMACIA POPULAR RS-SAO LEOPOLDO,
COGEAD,FARMACIA POPULAR RN-CENTRO,
COGEAD,FARMACIA POPULAR MA-SAO JOSE DO RIBAMAR,
COGEAD,FARMACIA POPULAR RS-SANTA ROSA,
COGEAD,FARMACIA POPULAR GO-CALDAS NOVAS,
COGEAD,FARMACIA POPULAR PA-ANANINDEUA UND COQUE,
COGEAD,FARMACIA POPULAR PB-CAJAZEIRAS,
COGEAD,FARMACIA POPULAR RS-BAGE,
COGEAD,FARMACIA POPULAR RS-ST VITORIA DO PALMAR,
COGEAD,FARMACIA POPULAR MA-SAO LUIS,
COGEAD,FARMACIA POPULAR PA-BREVES,
COGEAD,FARMACIA POPULAR SP-FRANCISCO MORATO,
COGEAD,FARMACIA POPULAR PA-CASTANHAL,
COGEAD,FARMACIA POPULAR AM-PARINTINS,
COGEAD,FARMACIA POPULAR GO-NOVO GAMA,
COGEAD,FARMACIA POPULAR MA-COROATA,
COGEAD,FARMACIA POPULAR MG-UBA,
COGEAD,FARMACIA POPULAR SP-SUZANO,
COGEAD,FARMACIA POPULAR PA-PARAGOMINAS,
COGEAD,FARMACIA POPULAR BA-IRECE,
COGEAD,FARMACIA POPULAR MG-RIBEIRAO NEVES CENT,
COGEAD,FARMACIA POPULAR SP-VARZEA PAULISTA,
COGEAD,FARMACIA POPULAR PB-JOAO PESSOA VARJAO,
COGEAD,FARMACIA POPULAR PA-ABAETETUBA,
COGEAD,FARMACIA POPULAR PI-PICARREIRA,
COGEAD,FARMACIA POPULAR SP-HORTOLANDIA UND I,
COGEAD,FARMACIA POPULAR PA-TUCURUI,
COGEAD,FARMACIA POPULAR SE-ARACAJU,
COGEAD,FARMACIA POPULAR SP-LIMEIRA,
COGEAD,FARMACIA POPULAR RO-PORTO VELHO,
COGEAD,FARMACIA POPULAR SP-SE,
COGEAD,FARMACIA POPULAR PB-PIANCO,
COGEAD,FARMACIA POPULAR MG-CONSELHEIRO LAFAIETE,
COGEAD,FARMACIA POPULAR PR-LONDRINA,
COGEAD,FARMACIA POPULAR SP-ITAPEVI/AMADOR BUENO,
COGEAD,FARMACIA POPULAR MG-SANTA LUZIA,
COGEAD,FARMACIA POPULAR RS-ERECHIM,
COGEAD,FARMACIA POPULAR PE-GOIANA,
COGEAD,FARMACIA POPULAR RJ-MANGUINHOS,
COGEAD,FARMACIA POPULAR PI-PICOS,
COGEAD,FARMACIA POPULAR PR-MARINGA,
COGEAD,FARMACIA POPULAR BA-MUTUIPE,
COGEAD,FARMACIA POPULAR PA-GUAMA BELEM,
COGEAD,FARMACIA POPULAR MG-TRES CORACOES,
COGEAD,FARMACIA POPULAR PA-SALINOPOLIS,
COGEAD,FARMACIA POPULAR PR-CURITIBA,
COGEAD,FARMACIA POPULAR CHICO DE PAULA/SANTOS,
COGEAD,FARMACIA POPULAR AP-SANTANA,
COGEAD,FARMACIA POPULAR RJ-SAO GONCALO,
COGEAD,FARMACIA POPULAR PA-MONTE ALEGRE,
COGEAD,FARMACIA POPULAR BA-RIBEIRA,
COGEAD,FARMACIA POPULAR RJ-MAGE UNID II,
COGEAD,FARMACIA POPULAR RJ-SAQUAREMA,
COGEAD,FARMACIA POPULAR CE-CAUCAIA,
COGEAD,FARMACIA POPULAR BA-XIQUE-XIQUE,
COGEAD,FARMACIA POPULAR SP-RODOVIARIA,
COGEAD,FARMACIA POPULAR MA-SAO BENTO,
COGEAD,FARMACIA POPULAR PA - CAPANEMA,
COGEAD,FARMACIA POPULAR MG-PONTE NOVA,
COGEAD,FARMACIA POPULAR MT-CUIABA UND BANDEIR,
COGEAD,FARMACIA POPULAR RJ-MACAE,
COGEAD,FARMACIA POPULAR RS-SANT. DO LIVRAMENTO,
COGEAD,FARMACIA POPULAR BA-JAGUAQUARA,
COGEAD,FARMACIA POPULAR SP-SUZANO 2ª UNID.,
COGEAD,FARMACIA POPULAR MA-ITAPECURU MIRIM,
COGEAD,FARMACIA POPULAR SP-ARACATUBA,
COGEAD,FARMACIA POPULAR PE-CAMARAGIBE,
COGEAD,FARMACIA POPULAR PR-FAZENDA RIO GRANDE,
COGEAD,FARMACIA POPULAR MG-GOVERNADOR VALADARES,
COGEAD,FARMACIA POPULAR TO-PARAISO DO TOCANTINS,
COGEAD,FARMACIA POPULAR BA-CAMPO FORMOSO,
COGEAD,FARMACIA POPULAR BA-SAO SEBASTIAO PASSE,
COGEAD,FARMACIA POPULAR MS-ANDRADINA,
COGEAD,FARMACIA POPULAR-APAREC.DE GOIANIA UN II,
COGEAD,FARMACIA POPULAR MG-UBERABA,
COGEAD,FARMACIA POPULAR BA-VALENCA,
COGEAD,FARMACIA POPULAR BA-IPIRA,
COGEAD,FARMACIA POPULAR SP-SANTA MARCELINA,
COGEAD,FARMACIA POPULAR MG-MANHUACU,
COGEAD,FARMACIA POPULAR RJ - VOLTA REDONDA,
COGEAD,FARMACIA POPULAR RN-PARNAMIRIM,
COGEAD,FARMACIA POPULAR SC-TIJUCA,
COGEAD,FARMACIA POPULAR SP-TABOAO DA SERRA,
COGEAD,FARMACIA POPULAR SC-ESTREITO,
COGEAD,FARMACIA POPULAR CE-SOBRAL,
COGEAD,FARMACIA POPULAR MS-DOURADOS,
COGEAD,FARMACIA POPULAR SP-COTIA,
COGEAD,FARMACIA POPULAR AM-SANTA ETELVINA,
COGEAD,FARMACIA POPULAR SC-BLUMENAU,
COGEAD,FARMACIA POPULAR MG-ITAUNA,
COGEAD,FARMACIA POPULAR SE-SAO CRISTOVAO,
COGEAD,FARMACIA POPULAR RS-MONTENEGRO,
COGEAD,FARMACIA POPULAR RN-LAGOA NOVA,
COGEAD,FARMACIA POPULAR PI-PIRIPIRI,
COGEAD,FARMACIA POPULAR PB-POMBAL,
COGEAD,FARMACIA POPULAR AM-COARI,
COGEAD,FARMACIA POPULAR MG-FUND ALBERTO G. DIAS,
COGEAD,FARMACIA POPULAR AL-PALMEIDA DOS INDIOS,
COGEAD,FARMACIA POPULAR MG-BETIM,
COGEAD,FARMACIA POPULAR CE-MARANGUAPE,
COGEAD,FARMACIA POPULAR MA-PACO DO LUMIAR,
COGEAD,INFORMATICA,
COGEAD,FARMACIA POPULAR PB-JOSE PINHEIRO,
COGEAD,FARMACIA POPULAR BA-BARREIRAS,
COGEAD,FARMACIA POPULAR BA-CAJAZEIRAS,
COGEAD,FARMACIA POPULAR BA-VERA CRUZ,
COGEAD,FARMACIA POPULAR BA-VITORIA CONQUISTA,
COGEAD,FARMACIA POPULAR PI-PARNAIBA,
COGEAD,FARMACIA POPULAR BA-FEIRA DE SANTANA,
COGEAD,FARMACIA POPULAR MG-MONTES CLAROS,
COGEAD,FARMACIA POPULAR BA-TEIXEIRA DE FREITAS,
COGEAD,FARMACIA POPULAR RN-ALECRIM,
COGEAD,FARMACIA POPULAR AC-CRUZEIRO DO SUL,
COGEAD,FARMACIA POPULAR PE-SURUBIM,
COGEAD,FARMACIA POPULAR RJ-SAO JOAO DA BARRA,
COGEAD,FARMACIA POPULAR SP-SERTAOZINHO,
COGEAD,FARMACIA POPULAR SP-ST BARBARA D'OESTE,
COGEAD,FARMACIA POPULAR MG-ALFENAS,
COGEAD,FARMACIA POPULAR SC-SAO JOSE,
COGEAD,FARMACIA POPULAR TO-GURUPI,
COGEAD,FARMACIA POPULAR MA-BURITICUPU,
COGEAD,FARMACIA POPULAR TO-ARAGUAINA,
COGEAD,FARMACIA POPULAR CE-LIMOEIRO DO NORTE,
COGEAD,FARMACIA POPULAR RN-QUINTAS,
COGEAD,FARMACIA POPULAR RN-CENTRO MOSSORO,
COGEAD,FARMACIA POPULAR AP-MACAPA,
COGEAD,FARMACIA POPULAR SP-OURINHOS,
COGEAD,FARMACIA POPULAR PR-ALTO ALEGRE CASCAV,
COGEAD,FARMACIA POPULAR MG-PARACATU,
COGEAD,FARMACIA POPULAR PR-CORNELIO PROCOPIO,
COGEAD,FARMACIA POPULAR RS-IJUI,
COGEAD,FARMACIA POPULAR PI-FLORIANO,
COGEAD,FARMACIA POPULAR SP-MAUA,
COGEAD,FARMACIA POPULAR MA-COELHO NETO,
COGEAD,FARMACIA POPULAR PA-MARABA,
COGEAD,FARMACIA POPULAR AM-MAUES,
COGEAD,FARMACIA POPULAR MT-CUIABA UNID CPA IV,
COGEAD,FARMACIA POPULAR AM-COMPENSA I,
COGEAD,FARMACIA POPULAR CE-SOCIEDADE QUIXADENSE,
COGEAD,FARMACIA POPULAR CE-TAUA,
COGEAD,FARMACIA POPULAR MG-BOCAIUVA,
COGEAD,FARMACIA POPULAR BA-CANA BRAVA,
COGEAD,FARMACIA POPULAR BA-ALTO DE COUTOS,
COGEAD,FARMACIA POPULAR PI-BOM JESUS,
COGEAD,FARMACIA POPULAR MS-PARANIBA,
COGEAD,FARMACIA POPULAR MT-TANGARA DA SERRA,
COGEAD,FARMACIA POPULAR PA-SANTA ISABEL DO PARA,
COGEAD,FARMACIA POPULAR MS - PONTA PORA,
COGEAD,FARMACIA POPULAR MG-EMILIA UNID II,
COGEAD,FARMACIA POPULAR RS-VACARIA,
COGEAD,FARMACIA POPULAR RJ-RIO BONITO,
COGEAD,FARMACIA POPULAR SP-SAO BERNARDO D'CAMPO,
COGEAD,FARMACIA POPULAR SC-BLUMENAU UNID II,
COGEAD,FARMACIA POPULAR PA-PORTEL,
COGEAD,FARMACIA POPULAR SP-TAUBATE,
COGEAD,FARMACIA POPULAR RJ-C.FRIO UN.SAMBURA,
COGEAD,FARMACIA POPULAR AL-DELMIRO GOUVEIA,
COGEAD,SECAO DE ARMAZENAMENTO E DISTRIBUICAO,
COGEAD,FARMACIA POPULAR GO-RIO VERDE,
COGEAD,FARMACIA POPULAR RJ- ILHA DO GOVERNADOR,
COGEAD,FARMACIA POPULAR SP-BOTUCATU,
COGEAD,FARMACIA POPULAR SP- CAMPO LIMPO,
COGEAD,FARMACIA POPULAR ES-SAO MATEUS,
COGEAD,FARMACIA POPULAR GO-JATAI,
COGEAD,FARMACIA POPULAR SC-ITAJAI,
COGEAD,FARMACIA POPULAR MG-RIBEIRAO NEVES JUST,
COGEAD,FARMACIA POPULAR MG-OURO PRETO,
COGEAD,FARMACIA POPULAR PA-CURUCA,
COGEAD,FARMACIA POPULAR CE-RUSSAS,
COGEAD,FARMACIA POPULAR PE-MORENO,
COGEAD,FARMACIA POPULAR MG-BARREIROS,
COGEAD,FARMACIA POPULAR MG-JUIZ DE FORA,
COGEAD,FARMACIA POPULAR CE-MARACANU UND PAJUCAR,
COGEAD,FARMACIA POPULAR RS-TAQUARA,
COGEAD,FARMACIA POPULAR MA-SAO LUIZ UND ALEMAN,
COGEAD,FARMACIA POPULAR SP-SUMARE UNID II,
COGEAD,FARMACIA POPULAR PA-ANANINDEUA UND PAAR,
COGEAD,FARMACIA POPULAR AM-S.GABRIEL CACHOEIRA,
COGEAD,FARMACIA POPULAR AM-ITACOATIARA,
COGEAD,FARMACIA POPULAR PA-MARITUBA,
COGEAD,FARMACIA POPULAR PB-JOAO PESSOA MANGAB,
COGEAD,FARMACIA POPULAR RS-SAO BORJA,
COGEAD,FARMACIA POPULAR BA-PORTO SEGURO,
COGEAD,FARMACIA POPULAR SE-ESTANCIA,
COGEAD,FARMACIA POPULAR SC-LAGES,
COGEAD,FARMACIA POPULAR SP-ITATIBA,
COGEAD,FARMACIA POPULAR SE-ARACAJU UNID II,
COGEAD,FARMACIA POPULAR PA-URUARA,
COGEAD,FARMACIA POPULAR RJ-PARATY,
COGEAD,FARMACIA POPULAR SP-ITAPEVA,
COGEAD,FARMACIA POPULAR MG-PATOS DE MINAS,
COGEAD,FARMACIA POPULAR SP-BIRIGUI,
COGEAD,FARMACIA POPULAR PA-JACUNDA,
COGEAD,FARMACIA POPULAR RO-TANCREDO NEVES,
COGEAD,FARMACIA POPULAR RS-URUGUAIANA,
COGEAD,FARMACIA POPULAR RS-NOVO HAMBURGO,
COGEAD,FARMACIA POPULAR BA-RIO VERMELHO,
COGEAD,FARMACIA POPULAR SP-JAU,
COGEAD,FARMACIA POPULAR MA-CAXIAS,
COGEAD,FARMACIA POPULAR PA-CONCEICAO ARAGUAIA,
COGEAD,FARMACIA POPULAR RJ-COPACABANA,
COGEAD,FARMACIA POPULAR SP-CAMPINAS,
COGEAD,FARMACIA POPULAR PR-PONTA GROSSA,
COGEAD,FARMACIA POPULAR MG-ITUIUTABA,
COGEAD,FARMACIA POPULAR SP-SANTO ANDRE II,
COGEAD,FARMACIA POPULAR RS-PASSO FUNDO,
COGEAD,FARMACIA POPULAR BA-FEIRA DE SANTANA3,
COGEAD,FARMACIA POPULAR SP-RIACHO GRANDE,
COGEAD,FARMACIA POPULAR SP-BARRETOS,
COGEAD,FARMACIA POPULAR RS-GARIBALDI,
COGEAD,FARMACIA POPULAR MG-ALEM PARAIBA,
COGEAD,FARMACIA POPULAR SP-GUARUJA,
COGEAD,FARMACIA POPULAR BA-SIMOES FILHO,
COGEAD,FARMACIA POPULAR SP-SERRANA,
COGEAD,FARMACIA POPULAR PE-ARARIPINA,
COGEAD,FARMACIA POPULAR PA-ORIXIMINA,
COGEAD,FARMACIA POPULAR MG-AGUAS FORMOSAS,
COGEAD,FARMACIA POPULAR PB-MAMANGUAPE,
COGEAD,FARMACIA POPULAR BA-BARROS REIS,
COGEAD,FARMACIA POPULAR PA - RONDON DO PARA/PA,
COGEAD,FARMACIA POPULAR SP-VILA NOVA,
COGEAD,FARMACIA POPULAR BA-OGUNJA,
COGEAD,FARMACIA POPULAR AL-TEOTONIO VILELA,
COGEAD,FARMACIA POPULAR MA-CHAPADINHA,
COGEAD,FARMACIA POPULAR PA-VISEU,
COGEAD,FARMACIA POPULAR MG-CARATINGA,
COGEAD,ASSESSORIA DE GESTAO DA QUALIDADE,
COGEAD,FARMACIA POPULAR AL-MACEIO,
COGEAD,FARMACIA POPULAR RJ-SANTO ANTONIO PADUA,
COGEAD,FARMACIA POPULAR RJ-MESQUITA,
COGEAD,FARMACIA POPULAR PA-BARCARENA,
COGEAD,FARMACIA POPULAR PI-PARQUE PIAUI,
COGEAD,FARMACIA POPULAR SP-POA,
COGEAD,FARMACIA POPULAR RS-PAROBE,
COGEAD,FARMACIA POPULAR RJ-B.ROXO UND LOTE XV,
COGEAD,FARMACIA POPULAR PB-CAMPINA GRANDE,
COGEAD,FARMACIA POPULAR RJ-VALENCA,
COGEAD,FARMACIA POPULAR RJ-PCA XV,
COGEAD,FARMACIA POPULAR SP-RIBEIRAO PIRES,
COGEAD,FARMACIA POPULAR SP-VILA MARIANA,
COGEAD,FARMACIA POPULAR SP-OSASCO,
COGEAD,FARMACIA POPULAR RJ - NOVA IGUACU,
COGEAD,FARMACIA POPULAR SP-CIDADE NOVA,
COGEAD,FARMACIA POPULAR BA-JACOBINA,
COGEAD,FARMACIA POPULAR CE-QUIXERAMOBIM,
COGEAD,FARMACIA POPULAR MG-VARGINHA,
COGEAD,FARMACIA POPULAR BA-ITABERABA,
COGEAD,FARMACIA POPULAR SE-LAGARTOSE,
COGEAD,FARMACIA POPULAR MG-SAO JOAO DEL REI,
COGEAD,FARMACIA POPULAR SP-ITAPEVI,
COGEAD,FARMACIA POPULAR MA-BACABAL,
COGEAD,FARMACIA POPULAR PB-SANTA RITA,
COGEAD,FARMACIA POPULAR GO-SENADOR CANEDO,
COGEAD,FARMACIA POPULAR SP-AVARE,
COGEAD,FARMACIA POPULAR PB-JOAO PESSOA IPES,
COGEAD,FARMACIA POPULAR CE-BARBALHA,
COGEAD,FARMACIA POPULAR BA-BROTAS,
COGEAD,FARMACIA POPULAR BA-UFBA,
COGEAD,FARMACIA POPULAR CE-BOA VIAGEM,
COGEAD,FARMACIA POPULAR AL - ATALAIA,
COGEAD,FARMACIA POPULAR RJ-ANGRA DOS REIS,
COGEAD,FARMACIA POPULAR MA-SANTA LUZIA,
COGEAD,FARMACIA POPULAR RS-SAO GABRIEL,
COGEAD,FARMACIA POPULAR BA-IPIAU,
COGEAD,FARMACIA POPULAR PA-ICOARACI,
COGEAD,FARMACIA POPULAR MG-MONTES CLAROS UND II,
COGEAD,FARMACIA POPULAR PA-PEDREIRA,
COGEAD,FARMACIA POPULAR BA-LAURO DE FREITAS,
COGEAD,FARMACIA POPULAR SP-MAIRIPORA,
COGEAD,FARMACIA POPULAR RN-NATAL,
COGEAD,FARMACIA POPULAR BA-RIBEIRA DO POMBAL,
COGEAD,FARMACIA POPULAR BA-STO ANTONIO DE JESUS,
COGEAD,FARMACIA POPULAR PA-CAMETA,
COGEAD,FARMACIA POPULAR PI-PINDORAMA,
COGEAD,FARMACIA POPULAR MA-LAGO DA PEDRA,
COGEAD,FARMACIA POPULAR MA-PRESIDENTE DUTRA,
COGEAD,FARMACIA POPULAR RS-ESTEIO,
COGEAD,FARMACIA POPULAR PR-CAMPO MOURAO,
IFF,LABORATORIO CONTROLE DE ALIMENTOS,
COGEAD,FARMACIA POPULAR SE-PROPRIA,
COGEAD,FARMACIA POPULAR CE-ARACATI,
COGEAD,FARMACIA POPULAR BA-CAIXA D' AGUA,
COGEAD,FARMACIA POPULAR MG-TEOFILO OTONI,
COGEAD,FARMACIA POPULAR RJ-VASSOURAS,
COGEAD,FARMACIA POPULAR SP-CAMPINAS II,
COGEAD,FARMACIA POPULAR MG-POCOS DE CALDAS,
COGEAD,FARMACIA POPULAR MT-UNID. CRISTO REI,
COGEAD,FARMACIA POPULAR ES-CARIACICA II,
COGEAD,FARMACIA POPULAR SP-MARILIA UND.II,
COGEAD,FARMACIA POPULAR SP-SAO B.CAMPO ASSUNCAO,
COGEAD,FARMACIA POPULAR SP-JARDIM ITAPARK,
COGEAD,FARMACIA POPULAR MG-MURIAE,
COGEAD,FARMACIA POPULAR PE-OURICURI,
COGEAD,FARMACIA POPULAR RS-SANTIAGO,
COGEAD,FARMACIA POPULAR MG-PATROCINIO,
COGEAD,FARMACIA POPULAR SC-CHAPECO,
COGEAD,FARMACIA POPULAR MA-TIMOM,
COGEAD,FARMACIA POPULAR PA-ALTAMIRA,
COGEAD,FARMACIA POPULAR PE-IGARASSU,
COGEAD,FARMACIA POPULAR SP-SAO CAETANO DO SUL,
COGEAD,FARMACIA POPULAR DO BRASIL INHUMAS/GO,
COGEAD,FARMACIA POPULAR SP-DIADEMA,
COGEAD,FARMACIA POPULAR GO-TRINDADE,
COGEAD,FARMACIA POPULAR PA-MOJU,
COGEAD,FARMACIA POPULAR RJ-TANGUA,
COGEAD,FARMACIA POPULAR ES-LINHARES,
COGEAD,FARMACIA POPULAR MT-BARRA DO GARCAS,
COGEAD,FARMACIA POPULAR MG-TIMOTEO,
COGEAD,FARMACIA POPULAR MG-CONSELHEIRO PENA,
COGEAD,FARMACIA POPULAR PR-FUND.UN.EST.MARINGA,
COGEAD,FARMACIA POPULAR PA-TERRA FIRME,
COGEAD,FARMACIA POPULAR SP-ITANHAEM,
COGEAD,FARMACIA POPULAR CE-CANINDE,
COGEAD,FARMACIA POPULAR PE-GRAVATA,
COGEAD,FARMACIA POPULAR RJ-C.FRIO UN.J.ESPERACA,
COGEAD,FARMACIA POPULAR RS-GRAVATAI,
COGEAD,FARMACIA POPULAR BA-JEQUIE,
COGEAD,FARMACIA POPULAR SC-CAMBORIU,
COGEAD,FARMACIA POPULAR MA-BALSAS,
COGEAD,FARMACIA POPULAR SP-ARARAQUARA,
COGEAD,FARMACIA POPULAR CE-JUAZEIRO DO NORTE,
